ID,ORDER,CLADES,NAME,REPLACE
ABX005,1,C04,C04_01,C04_ABX005
ABX020,2,C04,C04_02,C04_ABX020
ABX027,3,B01,B01_01,B01_ABX027
ABX028,4,C04,C04_03,C04_ABX028
ABX029,5,C04,C04_04,C04_ABX029
AMCC175984,6,C05,C05_01,C05_AMCC175984
AMCC176080,7,C05,C05_02,C05_AMCC176080
AMNH269123,8,A07,A07_01,A07_AMNH269123
AMNH272698,9,A01,A01_01,A01_AMNH272698
AMNH272700,10,A01,A01_02,A01_AMNH272700
AMNH272714,11,B12,B12_01,B12_AMNH272714
APC1085,12,A05,A05_01,A05_APC1085
APC1217,13,C01,C01_01,C01_APC1217
APC839,14,C01,C01_02,C01_APC839
BM12174,15,B07,B07_01,B07_BM12174
C247647,16,B01,B01_02,B01_C247647
CIT375,17,A12,A12_01,A12_CIT375
CIT393,18,A12,A12_02,A12_CIT393
CIT405,19,A12,A12_03,A12_CIT405
CIT448,20,A12,A12_04,A12_CIT448
CTA1028,21,OUT,OUT_01,OUT_CTA1028
CTA1415_MVZ197661,22,A05,A05_02,A05_CTA1415_MVZ197661
CTA1511_UFMG3029,23,C03,C03_01,C03_CTA1511_UFMG3029
CTA1517_MVZ197575,24,B07,B07_02,B07_CTA1517_MVZ197575
CTA1652_UFMG3035,25,C01,C01_03,C01_CTA1652_UFMG3035
CTA4195_MPEG42380,26,C07,C07_01,C07_CTA4195_MPEG42380
CTA4226_MPEG42412,27,C07,C07_02,C07_CTA4226_MPEG42412
CTA4245_MPEG42367,28,A07,A07_02,A07_CTA4245_MPEG42367
CTA4324_UFES2637,29,B01,B01_03,B01_CTA4324_UFES2637
CTA4325_UFES2638,30,B01,B01_04,B01_CTA4325_UFES2638
CTA4326_UFES2639,31,B01,B01_05,B01_CTA4326_UFES2639
CTA4327_UFES2640,32,B01,B01_06,B01_CTA4327_UFES2640
CTA4352_UFES2705,33,B13,B13_01,B13_CTA4352_UFES2705
CTA4357_UFES2710,34,B01,B01_07,B01_CTA4357_UFES2710
CTA4363_UFES2834,35,B13,B13_02,B13_CTA4363_UFES2834
CTA4371_UFES2842,36,B06,B06_01,B06_CTA4371_UFES2842
CTA4400_UFES2962,37,B07,B07_03,B07_CTA4400_UFES2962
EEB1013,38,OUT,OUT_02,OUT_EEB1013
EFA004,39,B01,B01_08,B01_EFA004
EFA015,40,B01,B01_09,B01_EFA015
EFA037,41,D01,D01_01,D01_EFA037
FMNH175275,42,D01,D01_02,D01_FMNH175275
FMPS010,43,OUT,OUT_03,OUT_FMPS010
ICA095,44,B05,B05_01,B05_ICA095
ICA240,45,E01,E01_01,E01_ICA240
ICA245,46,E01,E01_02,E01_ICA245
JAP006,47,B05,B05_02,B05_JAP006
JAP012,48,E01,E01_03,E01_JAP012
JAP094,49,A09,A09_01,A09_JAP094
JAP095,50,A09,A09_02,A09_JAP095
JAP098,51,A09,A09_03,A09_JAP098
JAP107,52,A09,A09_04,A09_JAP107
JUF017,53,C06,C06_01,C06_JUF017
MBR046,54,OUT,OUT_04,OUT_MBR046
MCNM1497,55,C02,C02_01,C02_MCNM1497
MJ006,56,B09,B09_01,B09_MJ006
MJ252,57,B01,B01_10,B01_MJ252
MJ391,58,B01,B01_11,B01_MJ391
MJ449,59,B09,B09_02,B09_MJ449
MJ514,60,B09,B09_03,B09_MJ514
MJ515,61,B09,B09_04,B09_MJ515
MJ523,62,B09,B09_05,B09_MJ523
MJ529,63,D01,D01_03,D01_MJ529
MJ601,64,B01,B01_12,B01_MJ601
MJ665,65,B09,B09_06,B09_MJ665
MN36222_MNLM236,66,C01,C01_04,C01_MN36222_MNLM236
MN56812_MNLM519,67,C06,C06_02,C06_MN56812_MNLM519
MN56815_MNLM521,68,C06,C06_03,C06_MN56815_MNLM521
MN56816_MNLM522,69,C06,C06_04,C06_MN56816_MNLM522
MN67246_APC599,70,A05,A05_03,A05_MN67246_APC599
MN76204_MNLM2306,71,C01,C01_05,C01_MN76204_MNLM2306
MN76211_MNLM2312,72,C01,C01_06,C01_MN76211_MNLM2312
MN76750_MNLM2337,73,C01,C01_07,C01_MN76750_MNLM2337
MN76754_MNLM2341,74,C01,C01_08,C01_MN76754_MNLM2341
MPEG20767_BDP2122,75,A12,A12_05,A12_MPEG20767_BDP2122
MPEG20768_BDP2186,76,A12,A12_06,A12_MPEG20768_BDP2186
MPEG20769_BDP2177,77,A12,A12_07,A12_MPEG20769_BDP2177
MPEG40369_EPM07,78,B08,B08_01,B08_MPEG40369_EPM07
MSB140110,79,A14,A14_01,A14_MSB140110
MSB140111,80,A14,A14_02,A14_MSB140111
MSB208394,81,A05,A05_04,A05_MSB208394
MSB210840,82,A05,A05_05,A05_MSB210840
MSB211792,83,A06,A06_01,A06_MSB211792
MSB236570,84,B11,B11_01,B11_MSB236570
MSB236689,85,B03,B03_01,B03_MSB236689
MSB236698,86,B03,B03_02,B03_MSB236698
MSB236807,87,B03,B03_03,B03_MSB236807
MSB238391,88,A03,A03_01,A03_MSB238391
MSB239628,89,A05,A05_06,A05_MSB239628
MSB263513,90,F01,F01_01,F01_MSB263513
MSB45836,91,A13,A13_01,A13_MSB45836
MSB70574,92,A03,A03_02,A03_MSB70574
MSB70575,93,A03,A03_03,A03_MSB70575
MSB99059,94,A05,A05_07,A05_MSB99059
MSB99060,95,A05,A05_08,A05_MSB99060
MUSM13338,96,A01,A01_03,A01_MUSM13338
MUSM13342,97,D01,D01_04,D01_MUSM13342
MUSM23828_AMCC114577,98,B12,B12_02,B12_MUSM23828_AMCC114577
MVZ155151,99,A02,A02_01,A02_MVZ155151
MVZ157855,100,A04,A04_01,A04_MVZ157855
MVZ157905,101,A02,A02_02,A02_MVZ157905
MVZ160093,102,A07,A07_03,A07_MVZ160093
MVZ160094,103,C08,C08_01,C08_MVZ160094
MVZ166815,104,D01,D01_05,D01_MVZ166815
MVZ168942,105,B03,B03_04,B03_MVZ168942
MVZ168953,106,A04,A04_02,A04_MVZ168953
MVZ168955,107,D01,D01_06,D01_MVZ168955
MVZ190699,108,A10,A10_01,A10_MVZ190699
MVZ190951,109,B02,B02_01,B02_MVZ190951
MVZ190954,110,B02,B02_02,B02_MVZ190954
MVZ194439,111,A01,A01_04,A01_MVZ194439
MVZ194463,112,A01,A01_05,A01_MVZ194463
MVZ194485,113,A01,A01_06,A01_MVZ194485
MVZ194491,114,A10,A10_02,A10_MVZ194491
MVZ194493,115,A10,A10_03,A10_MVZ194493
MVZ194511,116,E02,E02_01,E02_MVZ194511
MVZ194545,117,B10,B10_01,B10_MVZ194545
MVZ194567,118,B12,B12_03,B12_MVZ194567
MVZ194582_2,119,B11,B11_02,B11_MVZ194582_2
MVZ194703,120,D01,D01_07,D01_MVZ194703
MVZ194711,121,D01,D01_08,D01_MVZ194711
MVZ194775,122,D01,D01_09,D01_MVZ194775
MVZ194874,123,B04,B04_01,B04_MVZ194874
MVZ194879,124,B04,B04_02,B04_MVZ194879
MVZ194909,125,B02,B02_03,B02_MVZ194909
MVZ194914,126,B02,B02_04,B02_MVZ194914
MVZ194987,127,B02,B02_05,B02_MVZ194987
MVZ194997,128,B02,B02_06,B02_MVZ194997
MVZ195036,129,B02,B02_07,B02_MVZ195036
MVZ225064,130,A13,A13_02,A13_MVZ225064
MVZ225082,131,F01,F01_02,F01_MVZ225082
MZUSP30365_CIT1449,132,C01,C01_09,C01_MZUSP30365_CIT1449
MZUSP30370_CIT1465,133,C01,C01_10,C01_MZUSP30370_CIT1465
MZUSP31924_CIT648,134,B01,B01_13,B01_MZUSP31924_CIT648
MZUSP31926_CIT680,135,A12,A12_08,A12_MZUSP31926_CIT680
MZUSP31937_CIT622,136,A12,A12_09,A12_MZUSP31937_CIT622
MZUSP31939_CIT642,137,A12,A12_10,A12_MZUSP31939_CIT642
MZUSP31942_CIT483,138,C03,C03_02,C03_MZUSP31942_CIT483
MZUSP31944_CIT511,139,C03,C03_03,C03_MZUSP31944_CIT511
MZUSP31945_CIT589,140,C03,C03_04,C03_MZUSP31945_CIT589
MZUSP31946_CIT591,141,C03,C03_05,C03_MZUSP31946_CIT591
MZUSP31947_CIT714,142,C02,C02_02,C02_MZUSP31947_CIT714
MZUSP31948_CIT753,143,C02,C02_03,C02_MZUSP31948_CIT753
MZUSP31950_APC825,144,C01,C01_11,C01_MZUSP31950_APC825
NUTRIA289,145,OUT,OUT_05,OUT_NUTRIA289
PLVP642,146,E01,E01_04,E01_PLVP642
PNPA321,147,A05,A05_09,A05_PNPA321
PNPA357,148,A05,A05_10,A05_PNPA357
RGM856,149,B01,B01_14,B01_RGM856
ROM115116_HP,150,G01,G01_01,G01_ROM115116_HP
ROM117526,151,C07,C07_03,C07_ROM117526
ROM119901,152,A07,A07_04,A07_ROM119901
TTU100580_TK119156,153,A13,A13_03,A13_TTU100580_TK119156
TTU101118_TK73760,154,D02,D02_01,D02_TTU101118_TK73760
TTU101173_TK73888,155,A11,A11_01,A11_TTU101173_TK73888
TTU101179_TK73909,156,A02,A02_03,A02_TTU101179_TK73909
TTU101195_TK73940,157,A02,A02_04,A02_TTU101195_TK73940
TTU101213_TK73977,158,A02,A02_05,A02_TTU101213_TK73977
TTU102638_TK135304,159,A14,A14_03,A14_TTU102638_TK135304
TTU102971_TK135716,160,A13,A13_04,A13_TTU102971_TK135716
TTU102977_TK135943,161,A13,A13_05,A13_TTU102977_TK135943
TTU103310_TK134958,162,A14,A14_04,A14_TTU103310_TK134958
TTU106013_TK145304,163,C07,C07_04,C07_TTU106013_TK145304
UFES1569_DPO018,164,C02,C02_04,C02_UFES1569_DPO018
UFES1580_BAC320,165,C02,C02_05,C02_UFES1580_BAC320
UFMG4356,166,C02,C02_06,C02_UFMG4356
USNM448711_AMCC112999,167,C08,C08_02,C08_USNM448711_AMCC112999
USNM448714_AMCC112929,168,C05,C05_03,C05_USNM448714_AMCC112929
USNM448733_AMCC112987,169,C05,C05_04,C05_USNM448733_AMCC112987
USNM549559,170,A08,A08_01,A08_USNM549559
USNM568055,171,A07,A07_05,A07_USNM568055
USNM584593,172,A05,A05_11,A05_USNM584593
USNM619001_LHE0742,173,D01,D01_10,D01_USNM619001_LHE0742
USNM619002_LHE0747,174,B03,B03_05,B03_USNM619002_LHE0747
USNM619003_LHE0820,175,D01,D01_11,D01_USNM619003_LHE0820
USNM619004_ALG14009,176,C08,C08_03,C08_USNM619004_ALG14009
USNM619005_TTS382,177,A05,A05_12,A05_USNM619005_TTS382
USNM619006_NBH1305,178,A05,A05_13,A05_USNM619006_NBH1305
USNM619007_LLW424,179,D01,D01_12,D01_USNM619007_LLW424
USNM619008_ACF076,180,D01,D01_13,D01_USNM619008_ACF076
X1M15,181,A08,A08_02,A08_X1M15
X1M24,182,A08,A08_03,A08_X1M24
X1M36,183,B08,B08_02,B08_X1M36
Z9P01,184,C01,C01_12,C01_Z9P01
